trip_id,rider_id,zone,distance_km,duration_min,fare_amount,ride_date,hour,day_of_week,month,fare_log,distance_log,duration_sqrt,fare_amount_std,distance_km_std,duration_min_std,fare_amount_minmax,distance_km_minmax,duration_min_minmax,is_peak_hour,surge_flag,gender_encoded,ride_freq_bin,avg_ride_distance,avg_ride_fare,days_since_signup,ride_cancellation_rate,total_rides,cancelled_rides,avg_rating
T00001,R0210,Zone_12,9.25,87.7,292.63,2024-08-16,0,4,8,5.682320471356869,2.327277705584417,9.364827814754525,0.2571250947073522,-0.5906390402821813,-0.059941455493507,0.5835995239148127,0.35661764705882354,0.4735122119023048,0,0,1,High,9.25,292.63,1897,0.03151862464183381,349.0,11.0,4.58
T00002,R0334,Zone_29,24.27,159.36,23.41,2024-06-15,0,5,6,3.1949928844048685,3.2296179214001026,12.6237870704476,-1.6941416155535682,1.6216417956698008,1.3855928926893435,0.007909377877435016,0.9701797385620915,0.8843595917899325,0,0,0,High,24.27,23.41,863,0.0021598272138228943,463.0,1.0,3.44
T00003,R0726,Zone_28,3.08,49.68,401.7,2024-04-18,0,3,4,5.998191867857408,1.4060969884160703,7.048404074682439,1.0476483102491343,-1.4994121932664508,-0.826885579382873,0.8168308002995419,0.1045751633986928,0.2555326224056874,0,1,2,Med,10.055666666666667,241.43266666666668,2473,0.08783783783783784,148.0,13.0,4.64
T00004,R0260,Zone_14,24.73,147.6,481.0,2024-06-09,0,6,6,6.1779441140506,3.2476576262936527,12.149074038789951,1.6224029723236124,1.6893947373833769,1.1483687239113591,0.9864030036305131,0.988970588235294,0.8169361311776173,0,0,0,Med,23.314999999999998,484.08500000000004,2502,0.14884328422565976,133.0,19.79615680201275,3.79
T00005,R0446,Zone_14,23.88,145.5,46.87,2024-04-12,0,4,4,3.8684890034044175,3.2140642678709788,12.062338081814818,-1.5241070080848764,1.5641990842169862,1.1060072652010051,0.058075379014188896,0.9542483660130718,0.8048962274968469,0,0,0,High,23.88,46.87,1799,0.1339031339031339,351.0,47.0,4.82
T00006,R0869,Zone_8,20.56,92.68,474.79,2023-08-17,0,3,8,6.16497658041386,3.070839746040796,9.627045237246993,1.5773938115230766,1.0751995918494375,0.040515718019618875,0.97312376803549,0.8186274509803921,0.5020639834881322,0,0,0,High,20.56,474.79,1697,0.04395604395604396,455.0,20.0,3.0
T00007,R0945,Zone_7,2.19,21.93,307.1,2024-08-01,0,3,8,5.730424405602622,1.1600209167967532,4.682947789587238,0.3620015128689879,-1.630499406581848,-1.3866619980554111,0.6145416397054705,0.06821895424836602,0.09643389519550512,0,1,0,High,3.7099999999999995,263.3966666666667,1892,0.07416267942583732,418.0,31.0,3.01
T00008,R0862,Zone_11,22.19,138.06,390.06,2023-02-06,0,0,2,5.968861000898129,3.1437211512674406,11.749893616539683,0.9632833131930572,1.3152806679214573,0.9559266686271787,0.791940252420948,0.8852124183006537,0.7622405687421169,0,0,1,Low,18.1775,391.43396810799845,1842,0.8378378378378378,37.0,31.0,3.52
T00009,R0661,Zone_30,8.52,70.55,301.65,2023-06-09,0,4,6,5.712577022337697,2.253394848803274,8.399404740813482,0.32250071957383114,-0.698160013001552,-0.40589336829473344,0.6028875601575032,0.32679738562091504,0.3751863318426786,0,1,0,Low,8.52,301.65,1579,0.3333333333333333,76.5,25.5,3.39
T00010,R0629,Zone_10,18.29,81.21,183.25,2023-12-16,0,5,12,5.216293531069446,2.9595868269176377,9.011659114724658,-0.5356449549484664,0.7408535533933125,-0.1908585350316972,0.3497053549319423,0.7258986928104575,0.43630317624125675,0,0,1,Med,18.29,183.25,1295,0.027777777777777776,252.0,7.0,4.1
T00011,R0569,Zone_28,13.635952218060444,115.70275509876602,232.23,2023-01-26,0,3,1,5.452025091142252,2.683480982465955,10.756521514819092,-0.18064516493071192,0.05536349230212026,0.5049335701696066,0.45444238543825966,0.5357823618488743,0.6340600567524712,0,0,2,Low,14.65398805451511,145.3525,1166,0.2657453975473149,32.0,8.503852721514077,4.19
T00012,R0464,Zone_11,10.63,91.61,357.816736225647,2024-06-10,0,0,6,5.8828117740958135,2.453587966530573,9.57131129992124,0.72958890997986,-0.3873802151414531,0.018931546200533465,0.7229924430792238,0.4129901960784314,0.49592936589840614,0,0,0,Low,14.3475,330.0391840564117,2055,0.06060606060606061,66.0,4.0,4.82
