customer_id,default_flag,join_date,age,gender,region,education_level,employment_type,annual_income,loan_amount,loan_purpose,credit_score,repayment_history,transaction_count,spending_ratio,education_level_enc,region_North,region_South,region_West,loan_purpose_Car,loan_purpose_Education,loan_purpose_Home,gender_Male,gender_Other,employment_type_Self-Employed,employment_type_Unemployed,debt_to_income_ratio,average_monthly_transactions,spending_to_income_ratio
C00001,0,2021-01-31,47,Male,East,Secondary,Salaried,66220.93,9160.7,Home,686.74,0,143.0,0.77,1,0,0,0,0,0,1,1,0,0,0,0.13833541751829825,4.914089347079037,0.002159438111183277
C00002,0,2021-12-30,30,Male,West,Primary,Self-Employed,45743.67,40556.43,Business,450.82,2,208.0,0.59,0,0,0,1,0,0,0,1,0,1,0,0.8866020150984825,11.555555555555555,0.004547077224018099
C00003,0,2020-05-10,60,Male,East,Graduate,Salaried,88735.23,54039.04,Home,697.39,2,247.0,0.66,2,0,0,0,0,0,1,1,0,0,0,0.6089919415321288,6.505706760316066,0.002783561838967454
C00004,0,2021-07-18,52,Female,South,Post-Graduate,Salaried,90609.73,18821.0,Home,587.78,4,453.0,0.4,3,0,1,0,0,0,1,0,0,0,0,0.2077149992611169,19.27659574468085,0.0049994630819449526
C00005,0,2021-02-04,70,Male,East,Post-Graduate,Self-Employed,59077.78,14495.12,Education,450.82,3,121.0,0.17,3,0,0,0,0,1,0,1,0,1,0,0.24535654521886233,4.177215189873418,0.0020481473745289683
C00006,0,2020-12-31,53,Male,South,Primary,Self-Employed,45392.62,12166.88,Car,551.32,2,472.0,0.22,0,0,1,0,1,0,0,1,0,1,0,0.268036522236434,15.663716814159292,0.010398166045493738
C00007,0,2022-09-21,22,Other,North,Post-Graduate,Self-Employed,19600.59,76955.97,Education,635.86,0,61.0,0.79,3,1,0,0,0,1,0,0,1,1,0,3.9262068131622567,6.654545454545455,0.0031121512158562574
C00008,0,2020-11-10,53,Male,West,Secondary,Salaried,38285.09,15339.45,Home,711.79,2,146.0,0.45,1,0,0,1,0,0,1,1,0,0,0,0.4006638093315179,4.5863874345549736,0.003813495018556833
C00009,0,2022-06-27,53,Male,East,Graduate,Salaried,5822.75,37147.49,Home,787.41,3,264.0,0.11,2,0,0,0,0,0,1,1,0,0,0,6.37971577003993,21.939058171745152,0.04533940148555236
C00010,0,2018-05-02,61,Male,East,Graduate,Salaried,37233.94,18926.93,Business,677.29,1,124.0,0.77,2,0,0,0,0,0,0,1,0,0,0,0.5083246629285002,1.9808306709265175,0.0033302948868693455
C00011,0,2019-04-12,33,Female,West,Graduate,Self-Employed,68924.25,18125.88,Home,757.77,1,167.0,0.45,2,0,0,1,0,0,1,0,0,1,0,0.26298262222657487,3.268101761252446,0.002422949832606086
C00012,0,2021-05-23,50,Male,West,Primary,Salaried,58740.0,11946.58,Home,700.41,2,309.0,0.69,0,0,0,1,0,0,1,1,0,0,0,0.20338066053796391,12.181340341655716,0.00526046986721144
